date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:44	122/122	---MCZ	200	added ('OK')	text/plain	date:Mon,%2009%20Oct%202023%2002:52:29%20GMT	https://shopkeeper-demo.getbowtied.com/robots.txt		(from )
17:06:44	172597/172597	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:06:52%20GMT	https://shopkeeper-demo.getbowtied.com/	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/index.html	(from )
17:06:45	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2009%20Oct%202023%2017:06:52%20GMT	https://shopkeeper-demo.getbowtied.com/xmlrpc.php	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/xmlrpc.php	(from https://shopkeeper-demo.getbowtied.com/)
17:06:45	1411/1411	---MCZ	200	added ('OK')	text/css	etag:W/%226515ce93-585%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce-payments/vendor/woocommerce/subscriptions-core/build/index.css?ver=6.2.0	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce-payments/vendor/woocommerce/subscriptions-core/build/index10df.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:45	6059/6059	---MCZ	200	added ('OK')	text/css	etag:W/%226515ce93-17b3%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce-payments/dist/upe-blocks-checkout.css?ver=1.0	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce-payments/dist/upe-blocks-checkout5152.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:45	10335/10335	---MCZ	200	added ('OK')	text/css	etag:W/%226505399d-286f%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=10.9.3	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style71f0.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:45	272955/272955	---MCZ	200	added ('OK')	text/css	etag:W/%226505399d-42a80%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-all-blocks-style.css?ver=10.9.3	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-all-blocks-style71f0.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:46	2630/2630	---MCZ	200	added ('OK')	text/css	etag:W/%226501edc8-a46%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox.css?ver=1.2.0	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox7359.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:46	30584/30584	---MCZ	200	added ('OK')	text/css	etag:W/%226501edc8-778b%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome.css?ver=4.7.0	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome1849.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Oct%202023%2017:06:54%20GMT	http://shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.7005e.delayed	(from https://shopkeeper-demo.getbowtied.com/)
17:06:48	9234/9234	---MCZ	200	added ('OK')	text/css	etag:W/%226505399c-2412%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto005e.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:48	29471/29471	---MCZ	200	added ('OK')	text/css	etag:W/%226501edc8-731f%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/style.css?ver=3.25.0	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/style503b.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:48	7325/7325	---MCZ	200	added ('OK')	text/css	etag:W/%2264db72f0-1f11%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/shopkeeper-portfolio/includes/blocks/portfolio/assets/css/style.css?ver=1692103408	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/shopkeeper-portfolio/includes/blocks/portfolio/assets/css/stylea3b7.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:49	272/272	---MCZ	200	added ('OK')	text/css	etag:W/%2264d0e692-110%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/hookmeup/public/assets/css/hmu-public.css?ver=1.2.1	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/hookmeup/public/assets/css/hmu-public1576.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:49	4702/4702	---MCZ	200	added ('OK')	text/css	etag:W/%2264de4adc-1528%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/multisite-navigation-toolbar/assets/css/styles.css?ver=1.6.7	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/multisite-navigation-toolbar/assets/css/styles694e.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:49	17572/17572	---MCZ	200	added ('OK')	text/css	etag:W/%226505399c-44a4%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.1.1	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout12c8.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:49	7043/7043	---MCZ	200	added ('OK')	text/css	etag:W/%226505399c-1b83%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.1.1	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen12c8.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:49	74661/74661	---MCZ	200	added ('OK')	text/css	etag:W/%226505399c-123ad%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.1.1	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/woocommerce/assets/css/woocommerce12c8.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:50	48004/48004	---MCZ	200	added ('OK')	text/css	etag:W/%2264f844be-11193%22	https://shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/vendor/animate.css?ver=1.0.0	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/vendor/animate8a54.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:50	28669/28669	---MCZ	200	added ('OK')	text/css	etag:W/%2264f844be-8f47%22	https://shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/vendor/fresco/fresco.css?ver=2.3.0	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/vendor/fresco/frescoa1ec.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:50	185/185	---MCZ	200	added ('OK')	text/css	etag:W/%22651d8d0a-d1%22	https://shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/plugins/misc.css?ver=3.3	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/plugins/misc6de8.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:50	9969/9969	---MCZ	200	added ('OK')	text/css	etag:W/%22651d8d0a-2ea2%22	https://shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/plugins/wishlist.css?ver=3.3	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/plugins/wishlist6de8.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:50	49/49	---MCZ	200	added ('OK')	text/css	etag:W/%22651d8d0a-39%22	https://shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/plugins/elementor.css?ver=3.3	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/plugins/elementor6de8.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:51	15839/15839	---MCZ	200	added ('OK')	text/css	etag:W/%22651d8d0a-4605%22	https://shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/public/wc-cart.css?ver=3.3	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/public/wc-cart6de8.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:51	618/618	---MCZ	200	added ('OK')	text/css	etag:W/%22651d8d0a-2c0%22	https://shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/public/misc-product-card-animation.css?ver=3.3	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/public/misc-product-card-animation6de8.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:52	2415/2415	---MCZ	200	added ('OK')	text/css	etag:W/%22651d8ca9-96f%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/shopkeeper-extender/includes/social-media/assets/css/social-media.min.css?ver=6.3.1	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/shopkeeper-extender/includes/social-media/assets/css/social-media.min9b30.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:52	2337/2337	---MCZ	200	added ('OK')	text/css	etag:W/%2264d0e69e-921%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/shopkeeper-extender/includes/social-sharing/assets/css/social-sharing.min.css?ver=6.3.1	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/shopkeeper-extender/includes/social-sharing/assets/css/social-sharing.min9b30.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:52	7682/7682	---MCZ	200	added ('OK')	text/css	etag:W/%2264db72f0-1e47%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/shopkeeper-portfolio/includes/assets/css/portfolio.css?ver=6.3.1	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/shopkeeper-portfolio/includes/assets/css/portfolio9b30.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:53	10827/10827	---MCZ	200	added ('OK')	text/css	etag:W/%22651d8d0a-2a4b%22	https://shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/inc/notifications/custom/assets/css/style.min.css?ver=3.3	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/inc/notifications/custom/assets/css/style.min6de8.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:53	464817/464817	---MCZ	200	added ('OK')	text/css	etag:W/%22651d8d80-717b1%22	https://shopkeeper-demo.getbowtied.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=7.1	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/plugins/js_composer/assets/css/js_composer.min4d6f.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:53	2201/2201	---MCZ	200	added ('OK')	text/css	etag:W/%22651d8d0a-abe%22	https://shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/inc/fonts/shopkeeper-icon-font/style.css?ver=3.3	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/inc/fonts/shopkeeper-icon-font/style6de8.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:54	386880/386880	---MCZ	200	added ('OK')	text/css	etag:W/%22651d8d0a-5e740%22	https://shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/styles.css?ver=3.3	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/css/styles6de8.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:54	0/0	---MCZ	200	added ('OK')	text/css	etag:W/%22651d8d0a-220%22	https://shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/style.css?ver=3.3	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper/style6de8.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:55	772/772	---MCZ	200	added ('OK')	text/css	etag:W/%2263cea95a-304%22	https://shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper-child/style.css?ver=3.3	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-content/themes/shopkeeper-child/style6de8.css	(from https://shopkeeper-demo.getbowtied.com/)
17:06:55	87482/87482	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264d71f87-155ba%22	https://shopkeeper-demo.getbowtied.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.0	C:/Users/dagoa/Desktop/shopkeeper/shopkeeper-demo.getbowtied.com/wp-includes/js/jquery/jquery.min3088.js	(from https://shopkeeper-demo.getbowtied.com/)
